ID1 *,Latitude,Longitude,WaterDepth_Min,WaterDepth_Max,WaterDepth_Notes,TotalLength_Lt,DepositLength_Ld,EvacuatedLength_Le,LengthNotes,ScarpPerimeterLength_Ls,ScarpHeight_Hs,EvacuatedHeight_He,ScarpWidth_Ws,ScarpSurfaceNature,Scarp_Notes,MaxDepositWidth_Wd,MaxDepositThickness_Tdmax_m,MaxDepositThickness_TWTT_Tdmax,MaxUnconfinedDepositThickness_Tumax_m,MaxUnconfinedDepositThickness_TWTT_Tumax,ThicknessNotes,Deposit_Notes,TotalHeightDrop_Ht,SlopeGradient_S,SlopeGradientNotes,SlopeGradientHeadscarp_Ss,SlopeGradientHeadscarpNotes,SlopeGradientToe_St,SlopeGradientToeNotes,OBJECTID_12__
98,49.891346,-124.995364,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,98
99,50.009854,-124.945278,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,99
100,49.863959,-124.616575,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,100
101,49.875628,-124.627005,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,101
102,50.355183,-124.697017,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,102
103,50.41552,-124.60659,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,103
104,50.416067,-124.599577,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,104
105,50.414682,-124.585885,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,105
106,50.436862,-124.50917,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,106
107,50.444459,-124.477652,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,107
108,50.402166,-124.55949,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,108
109,50.241585,-125.014966,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,109
110,49.614142,-124.846812,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,110
111,50.185189,-123.93293,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,111
112,50.138024,-123.82111,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,112
113,49.910781,-123.954892,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,113
114,49.929376,-123.96133,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,114
115,50.422549,-124.660678,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,115
116,50.265829,-124.993259,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,116
117,49.868484,-124.620355,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,117
118,49.832606,-124.678005,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,118
119,49.833075,-124.668919,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,119
120,49.828928,-124.641236,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,120
121,49.691802,-124.55665,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,121
122,49.699044,-124.566305,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,122
123,49.349066,-124.060219,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,123
124,49.345541,-124.021101,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,124
125,50.006655,-124.950941,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,125
126,50.001001,-124.961865,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,126
127,49.994089,-124.966403,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,127
128,49.177575,-123.881669,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,128
129,50.4353,-125.064224,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,129
130,50.224933,-124.639431,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,130
131,50.210884,-124.639766,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,131
132,49.87128,-123.882763,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,132
133,49.033973,-125.155174,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,133
134,49.060958,-124.848419,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,134
135,50.091863,-123.763671,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,135
136,50.304529,-124.892535,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,136
137,50.303735,-124.887029,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,137
138,50.103343,-125.171496,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,138
139,49.761747,-124.421385,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,139
140,49.763298,-124.438029,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,140
141,49.757868,-124.399785,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,141
142,50.186219,-123.965295,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,142
143,50.137781,-123.851756,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,143
144,49.943494,-123.970993,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,144
145,49.378589,-123.507424,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,145
146,49.340297,-123.44229,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,146
147,49.37277,-123.53298,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,147
148,49.376866,-123.528186,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,148
149,49.391403,-123.496983,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,149
150,49.412986,-123.438451,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,150
151,49.393992,-123.398213,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,151
152,50.25359,-124.618133,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,152
153,50.582064,-124.9528,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,153
154,50.671003,-124.91513,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,154
155,50.695525,-124.907208,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,155
156,50.699271,-124.90757,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,156
157,50.704185,-124.905529,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,157
158,50.710051,-124.902599,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,158
159,50.759581,-124.943296,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,159
160,50.770672,-124.942194,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,160
161,50.798435,-124.973479,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,161
162,50.810632,-124.972996,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,162
163,50.818651,-124.967573,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,163
164,50.831366,-124.913673,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,164
165,50.834295,-124.907833,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,165
166,50.842571,-124.90659,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,166
167,50.84567,-124.897636,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,167
168,50.844738,-124.900553,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,168
169,50.85522,-124.890029,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,169
170,50.857818,-124.893041,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,170
171,50.864087,-124.892429,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,171
172,50.884812,-124.872,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,172
209,50.89553,-124.856715,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,173
210,50.893802,-124.861233,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,174
211,50.912987,-124.848955,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,175
212,50.862302,-124.847177,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,176
213,50.826054,-124.869707,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,177
214,50.757249,-124.870514,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,178
215,50.740286,-124.850034,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,179
216,50.732326,-124.83919,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,180
217,50.714293,-124.843306,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,181
218,50.667379,-124.862768,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,182
219,50.662622,-124.86722,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,183
220,50.576991,-124.880382,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,184
221,50.505535,-124.976896,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,185
222,50.511895,-125.027669,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,186
223,50.397206,-125.095959,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,187
224,50.390673,-125.08222,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,188
225,50.385364,-125.063449,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,189
226,50.397543,-125.063579,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,190
227,50.361082,-124.97411,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,191
228,50.371408,-124.96638,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,192
229,50.374695,-124.963663,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,193
230,50.400219,-124.973384,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,194
231,50.405021,-124.975234,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,195
232,50.424438,-124.984123,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,196
233,50.437869,-125.004366,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,197
