116,,Canada West Coast_55,,FALSE,,0,,,This slide is with debris flow,Translational slide
117,,Canada West Coast_56,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
118,,Canada West Coast_57,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
119,,Canada West Coast_58,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
120,,Canada West Coast_59,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
121,,Canada West Coast_60,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
122,,Canada West Coast_61,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
123,,Canada West Coast_62,,FALSE,,0,,,,Translational slide
124,,Canada West Coast_63,,FALSE,,0,,,,Translational slide
125,,Canada West Coast_64,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
126,,Canada West Coast_65,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
127,,Canada West Coast_66,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
128,,Canada West Coast_67,,FALSE,,0,,,,Translational slide
129,,Canada West Coast_68,,FALSE,,0,,,Great example of a large feature translational slide,Translational slide
130,,Canada West Coast_69,,FALSE,,0,,,Small ephemeral stream,Fan delta
131,,Canada West Coast_70,,FALSE,,0,,,,Submarine alluvial fan/composite slide
132,,Canada West Coast_71,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
133,,Canada West Coast_72,,FALSE,,0,,,Small debris flow,Fan delta
134,,Canada West Coast_73,,FALSE,,0,,,Good example of a large translational slide - Alberni Inlet,Translational slide
135,,Canada West Coast_74,,FALSE,,0,,,Small delta ,Delta and channel complex
136,,Canada West Coast_75,,FALSE,,0,,,,Submarine alluvial fan/composite slide
137,,Canada West Coast_76,,FALSE,,0,,,,Submarine alluvial fan/composite slide
138,,Canada West Coast_77,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
139,,Canada West Coast_78,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
140,,Canada West Coast_79,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
141,,Canada West Coast_80,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
142,,Canada West Coast_81,,FALSE,,0,,,,Fan delta
143,,Canada West Coast_82,,FALSE,,0,,,There are several slide lobes in this area,Submarine alluvial fan/composite slide
144,,Canada West Coast_83,,FALSE,,0,,,,Fan delta
145,,Canada West Coast_84,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
146,,Canada West Coast_85,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
147,,Canada West Coast_86,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
148,,Canada West Coast_87,,FALSE,,0,,,,Undifferentiated slide
149,,Canada West Coast_88,,FALSE,,0,,,,Translational slide
150,,Canada West Coast_89,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
151,,Canada West Coast_90,,FALSE,,0,,,Good example of a small translational slide ,Translational slide
152,,Canada West Coast_91,,FALSE,,0,,,Alluvial apron,Submarine alluvial fan/composite slide
153,,Canada West Coast_92,,FALSE,,0,,,Good example of a small fan delta,Fan delta
154,,Canada West Coast_93,,FALSE,,0,,,Good example of a small fan delta,Fan delta
155,,Canada West Coast_94,,FALSE,,0,,,Good example of a small fan delta,Fan delta
156,,Canada West Coast_95,,FALSE,,0,,,,Submarine alluvial fan/composite slide
157,,Canada West Coast_96,,FALSE,,0,,,Small translational slide example,Translational slide
158,,Canada West Coast_97,,FALSE,,0,,,,Submarine alluvial fan/composite slide
159,,Canada West Coast_98,,FALSE,,0,,,,Submarine alluvial fan/composite slide
160,,Canada West Coast_99,,FALSE,,0,,,,Submarine alluvial fan/composite slide
161,,Canada West Coast_100,,FALSE,,0,,,Good example of a small fan delta,Fan delta
162,,Canada West Coast_101,,FALSE,,0,,,Medium fan delta,Fan delta
163,,Canada West Coast_102,,FALSE,,0,,,,Submarine alluvial fan/composite slide
164,,Canada West Coast_103,,FALSE,,0,,,,Rock avalanche
165,,Canada West Coast_104,,FALSE,,0,,,,Rock avalanche
166,,Canada West Coast_105,,FALSE,,0,,,,Fan delta
167,,Canada West Coast_106,,FALSE,,0,,,There appear to be two avalanches here,Rock avalanche
168,,Canada West Coast_107,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
169,,Canada West Coast_108,,FALSE,,0,,,Good example of a very large rock slide,Rock avalanche
170,,Canada West Coast_109,,FALSE,,0,,,Good example of a small rock slide,Rock avalanche
171,,Canada West Coast_110,,FALSE,,0,,,Nice example of 2 small deltas merging,Fan delta
172,,Canada West Coast_111,,FALSE,,0,,,Alluvial apron,Submarine alluvial fan/composite slide
209,,Canada West Coast_112,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
210,,Canada West Coast_113,,FALSE,,0,,,,Fan delta
211,,Canada West Coast_114,,FALSE,,0,,,,Translational slide
212,,Canada West Coast_115,,FALSE,,0,,,A large and partly buried translational slide ,Rock avalanche
213,,Canada West Coast_116,,FALSE,,0,,,Medium fan delta,Fan delta
214,,Canada West Coast_117,,FALSE,,0,,,Good example of a small fan delta,Fan delta
215,,Canada West Coast_118,,FALSE,,0,,,Composite fan,Fan delta
216,,Canada West Coast_119,,FALSE,,0,,,Example of an ephemeral stream,Cone
217,,Canada West Coast_120,,FALSE,,0,,,,Fan delta
218,,Canada West Coast_121,,FALSE,,0,,,,Fan delta
219,,Canada West Coast_122,,FALSE,,0,,,," Debris flow and turbidity current channels, gullies and lobes"
220,,Canada West Coast_123,,FALSE,,0,,,Example of a small cone/ephemeral stream,Submarine alluvial fan/composite slide
221,,Canada West Coast_124,,FALSE,,0,,,Example of a medium size fan delta,Fan delta
222,,Canada West Coast_125,,FALSE,,0,,,Example of a small cone/ephemeral stream,Fan delta
